Nation,Boat,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,0,Howard Hamlin,Mike Martin,,1,1,2,2,2,1,9,1
USA,0,Bruce Edwards,Dave Shelton,,2,2,3,1,1,3,12,2
USA,0,Tom Poore,Stewart Park,,3,3,1,3,3,2,15,3
USA,0,Paul Kerner,Bruce Tilley,,11,4,5,5,4,6,35,4
USA,0,Craig Perez,Eric Chase,,5,6,6,6,9,4,36,5
USA,0,Andy Beckman,Steve Bartz,,4,5,4,7,6,11,37,6
USA,0,Jerry Woan,Alex Mehran,,7,7,11,4,8,5,42,7
USA,0,Sylvaine Griffin,Randy Griffin,,8,8,11,8,5,7,47,8
USA,7877,Steve Anderes,Bruce Fleming,,6,11,11,9,7,11,55,9
USA,0,Nick Adamson,Ben Benjamin,,11 DNS,11 DNS,11 DNS,11 DNS,11 DNS,11 DNS,66,10
USA,0,Larry Tuttle,Alan Norman,,11 DNS,11 DNS,11 DNS,11 DNS,11 DNS,11 DNS,66,10
