Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Position
GBR,7589,Peter Colclough,Harold Barnes,,0,0,"5,7",3,0,3,1
SWE,7665,Krister Bergström,Joakim Pettersson,,3,13,10,8,87,34,2
SWE,7343,Karl-Erick Nilsson,Jan Calvert,,8,18,0,17,87,43,3
DEN,7820,Jørgen Holm-Nielsen,Finn Jensen,,25,10,43,0,16,50,4
GBR,7787,Martin Jones,Bill Masterman,,36,8,3,"5,7",87,"52,7",5
GBR,7784,Ozzie Stewart,Kevin Richardson,,23,3,14,35,17,57,6
SWE,7592,Jan Bergström,Bengt Zachrisson,,14,14,19,10,48,57,7
SUI,7635,Urs Scherrer,Ruedi Mathis,,15,34,26,"11,7",8,"60,7",8
GBR,7809,Phil Milanes,John Labbett,,10,15,8,28,37,61,9
USA,7605,Frank Thompson,Joseph Thompson,,55,27,17,15,3,63,10
GBR,7766,Peter White,Steve Butcher,,85,"5,7","11,7",22,36,"75,4",11
SWE,7591,Ebbe Rosen,Lars Edstrom,,19,25,28,20,13,77,12
GBR,7664,Clive Robinson,Malcolm Swallow,,18,"11,7",16,34,87,"79,7",13
GBR,7675,Ben Tucker,Phil Cotton,,20,16,13,43,39,88,14
GBR,7669,Chris Lewis,Andy Gray,,27,26,24,31,14,91,15
GBR,7701,Mark Elkington,Simon Briddon,,22,37,31,14,25,92,16
GBR,7649,Neil Thomas,Damien Chisholm,,"11,7",21,15,47,51,"94,7",17
GBR,7624,Colin Fry,Geoff Holden,,"5,7",33,36,45,21,"95,7",18
SWE,7540,Anders Pettersson,Rikard Isby,,17,87,30,25,28,99,19
DEN,7017,Svend-Erick Molbech,Poul Strange,,25,24,87,15,387,102,20
GBR,7580,Michael Platts,Steve Cooke,,16,28,38,59,22,104,21
GBR,7788,Andrew Gilmore,Nigel Bultitude,,44,19,22,50,19,104,22
SWE,7716,Niklas Philipsson,Lars Stugemo,,37,23,21,53,23,104,23
SUI,7753,Stephen Rueger,Peter Seitz,,21,87,55,23,"5,7","104,7",24
GBR,7680,John McLaren,Jack Edwards,,35,29,25,63,18,107,25
SUI,7751,Roger Oswald,Christian Wiskemann,,52,32,34,32,10,108,26
GBR,7777,Michael Lawton,Ian Godfrey,,57,46,18,21,24,109,27
GBR,7840,Ian Andrew,Ray Sellings,,13,87,54,13,32,112,28
GER,7584,Bernd Kowalzig,Claus Tiedemann,,31,38,23,26,53,118,29
FRA,7529,Philippe Boite,Philippe Sérane,,30,31,32,27,41,120,30
FIN,7581,Petri Leksis,Kimmo Lautanen,,28,41,29,48,26,124,31
GBR,7818,Christopher Stodel,Colin Merrett,,43,35,41,56,15,134,32
FRA,7695,Sylvain Pellissier,Nicolas Auberger,,41,40,58,33,20,134,33
FRA,7501,Herve Wattine,Louis-Michel Ces,,39,39,40,36,33,138,34
GBR,7706,Dave Revill,Nigel Brackenbury,,26,20,87,40,55,141,35
FIN,7657,Mikko Saarela,Olli Karlsson,,34,54,48,19,44,144,36
FRA,7762,Eric Jacta,Robert Massot,,45,45,60,25,30,145,37
FRA,7654,Peter Kyne,Gerrard Simpson,,32,39,35,51,43,149,38
SUI,7389,Werner Müller,Roger Fischer,,48,36,45,61,29,158,39
SUI,7749,Jacqueline Vandeveld,Terry Vandeveld,,67,55,48,38,27,168,40
GBR,7803,Dave Peacock,Colin Smith,,50,56,87,18,45,169,41
SUI,7558,Josef Zuppiger,Daniel Brun,,87,22,37,54,57,170,42
FRA,7710,Marcel Buffet,Jean Luc Muzellec,,29,61,62,30,50,170,43
GER,7327,Adalbert Kluck,Gerhard Schmidt,,46,87,20,62,46,174,44
FIN,7658,Hannu Merikallio,Jarkko Niemi,,33,87,28,29,87,176,45
DEN,7718,Claus Jakobsen,Kim Hytell,,40,87,33,49,56,178,46
GBR,7621,Eric Lockyer,Gordon Kingston,,68,87,44,42,31,186,47
GBR,7733,Neil Wilmott,Paul Willmott,,51,17,39,87,87,194,48
DEN,7140,Sten Skorsgaard,Morten Storgaard,,49,51,87,31,63,194,49
SWE,7435,Tomas Nordqvist,Johan Wadmark,,60,44,42,87,49,195,50
GBR,7653,Barry Middleditch,Peter Coit,,52,46,52,57,52,203,51
SWE,7209,Lars Borjesson,Lars Lindvall,,38,87,67,60,42,207,52
FRA,6419,Claude Gachet,Kleber Valery,,56,87,57,37,60,210,53
SWE,7460,Kent Högberg,Gerry Högberg,,54,52,69,52,54,212,54
FRA,7835,Gerard Toupet,Fabrice Toupet,,53,60,87,39,66,218,55
GER,7451,Ewald Brzoska,Hanno Barth,,66,87,64,55,34,219,56
IRL,7768,Julian Cooke,Andrew Morris,,64,57,72,46,58,225,57
IRL,7426,Gerry Donleavy,David O'Brien,,61,87,53,73,40,227,58
FRA,7734,Francis Macheboeuf,Pierre Gachett,,62,87,66,41,62,231,59
GER,7807,Robin Whittle,Keith Summersgill,,71,62,50,60,59,231,60
FRA,7588,Christian Lippi,Bertrand Rochette,,78,59,68,70,35,232,61
FRA,7293,Georges Chalandre,Serge Ehrhardt,,75,42,71,44,87,232,62
SUI,7179,Edgar Rothlisberger,Marco Calderari,,59,49,87,65,61,234,63
SUI,7416,Lucien Keller,Georges Gay-Pierre,,57,50,59,68,70,234,64
