Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
DEN,6189,Peter Colclough,Philip Brown,,1,2,2,1,3,NP,"11,7",1
USA,6136,Ethan Bixby,Larry Tuttle,,3,4,5,5,2,4,"34,7",2
USA,6292,Steve Taylor,Stan Honey,,2,6,27,20,1,1,"40,7",3
AUS,6208,Terrence Kyrwood,Geoffrey Kyrwood,,4,5,1,10,8,12,48,4
FRA,6170,Marc Bouet,Jolly,,6,11,3,3,11,AB,"57,1",5
AUS,5952,Ian Brown,Martin F. Burke,,46,7,17,2,6,14,70,6
SWE,5720,Staffan Eklund,Anders Eklund,,5,10,19,11,31,2,71,7
GBR,5901,Phil Milanes,Will Hartje,,24,1,20,23,19,7,93,8
GBR,6089,Peter White,John Davies,,18,13,4,6,29,NP,"97,7",9
SWE,6143,Stefan Eriksson,Kjell Lidman,,8,28,AB,4,15,18,101,10
USA,6137,Sally Lindsay,Mark Lindsay,,DQ,3,13,49,9,6,"106,4",11
USA,5190,William Peaver,Dyson,,27,12,25,16,4,42,112,12
,5973,Surtees,Kuncl,,21,36,6,15,12,38,"119,7",13
,5888,Downham,Herrmann,,11,38,53,9,26,8,122,14
,5850,Warfield,Gilmore,,48,22,15,50,5,5,123,15
,4935,Thompson,Dovning,,19,26,14,7,27,36,123,15
FRA,6037,Jean-François Fountaine,Pierre Fountaine,,47,17,7,19,35,23,131,17
GBR,6276,Mike Lingwood,John Labbett,,13,9,42,22,24,NP,140,18
,5304,Moller,Moller,,12,14,NP,8,46,30,140,18
HNK,6180,Eric Lockeyear,Tim Hammick,,29,24,8,18,57,33,142,20
,6221,Nilsson,Nilausen,,14,34,22,36,7,NP,143,21
,5859,Andron,Mac Neil,,7,8,24,47,30,48,146,22
GBR,6333,Peter Bainbridge,Jamie Campbell,,26,33,NP,12,21,26,148,23
GBR,6021,Robert Napier,J. Gray,,37,21,28,39,13,29,158,24
,6268,Dalgleish,Bull,,30,27,23,24,23,28,160,25
,6275,Golding,Crossin,,15,43,49,43,18,16,165,26
FRA,6347,Nicholas Loday,Nicolas Fédorenko,,41,20,33,31,22,31,167,27
SWE,6144,Krister Bergström,Martin Bergström,,17,AB,31,13,AB,3,"173,7",28
FRA,6126,Francois Cuny,Eric Cuny,,16,69,18,80,10,32,175,29
FRA,5565,Marcel Buffet,Thierry Moreau-Defarges,,10,29,26,21,59,AB,175,29
,6179,Conan,Conan,,22,39,11,29,51,55,182,31
SUI,5530,Martin Ingold,Peter Neth,,40,15,12,45,61,47,189,32
GBR,6243,Richard Lord,A. Tristram,,44,23,52,79,38,9,196,33
,6330,Parker,Ian,,53,44,10,51,55,13,201,34
,6305,Muller,Spirig,,54,50,39,30,43,10,202,35
,5986,Scherrer,Blum,,55,42,29,25,58,21,202,35
FIN,5335,Kari Wilén,Biaudet,,62,31,21,44,17,NP,205,37
RSA,6266,Robbie van Rooyen,Rabie,,33,41,58,40,40,22,206,38
,5651,Le Troquer,Dembrowski,,34,32,30,60,42,49,217,39
FRA,6260,Gilbert Vinches,François Padovani,,42,55,32,28,44,25,217,39
JPN,5747,Tsuji,Noguchi,,AB,46,44,33,45,20,218,41
GBR,6104,Neil Willmott,Paul Willmott,,28,19,50,14,NP,NP,228,42
SUI,5857,Dagaudenzi,Perret,,52,60,35,26,47,43,233,43
FRA,6142,Jérôme Langlois,Philippe Sérane,,59,37,38,37,48,44,234,44
FIN,5134,Jan Lindahl,A. Backman,,61,30,43,38,33,NP,235,45
FRA,6060,Levesque,Yvon Kergreis,,AB,52,41,54,14,46,237,46
,5948,Dietz,Strohmayer,,69,68,9,52,62,17,238,47
,6118,Brummer,Phelippon,,35,DQ,34,32,60,58,249,48
,4409,Ringsted,Vejborg,,67,47,54,34,70,19,251,49
DEN,5962,Henrik Andersen,Vedeback,,57,40,37,74,16,NP,254,50
,5696,Haldi,Keller,,49,54,47,63,25,50,"255,6",51
,5800,François Fischer,Jacques Chouraki,,51,57,48,55,37,35,256,52
AUS,5844,Ron Naughton,Gardiner,,68,72,62,27,36,34,257,53
,5995,Wilson,Donaldson,,64,58,56,69,39,11,258,54
,6289,Rick Shields,Kennedy,,76,45,36,59,50,39,259,55
,6250,Yves Pottier,Mahe,,58,AB,59,56,28,37,268,56
,5459,Mc Ready,Dick,,66,AB,21,70,34,56,279,57
,5798,Preuss,Bertenrath,,31,63,51,71,49,45,279,57
,6118,Hereward,Burrough,,32,53,68,41,56,NP,280,59
GBR,6128,Mike Platts,Terry Lawton,,56,27,57,42,69,NP,281,60
,6032,Gregorini,Rathgeb,,50,64,66,46,41,52,283,61
FIN,6012,Ludde Ingvall,Huber,,23,66,40,61,63,NP,283,61
,5,Holm,Lorpentin,,25,35,AB,62,53,NP,286,63
,6124,H. Bourn,T. Tregaskis,,43,48,AB,53,32,NP,287,64
,6240,Duran Rauche,Jaffrezio,,39,AB,46,48,74,51,288,65
,6062,Enalosen,Becher,,20,56,AB,17,NP,NP,291,66
GBR,6082,Derek Farrant,Bev Moss,,9,16,NP,35,NP,NP,293,67
FRA,6262,Jean-Marie Danielou,François Richard,,45,18,AB,NP,20,NP,296,68
JPN,5572,Sekiguchi,Chihara,,AB,NP,16,58,54,53,298,69
,6058,Wiedemann,Stahl,,63,71,45,75,67,84,300,70
,6255,Bremenkamb,Weib,,70,77,65,68,64,27,324,71
,5985,Pftensen,Mussback,,36,62,69,66,71,NP,334,72
,4480,Farman,Richard,,78,76,64,77,75,15,337,73
GER,5984,Andreas Beckmann,Wolfgang Pollex,,71,75,55,65,52,NP,348,74
,6182,Michel Christ,Cordonnier,,60,AB,67,57,AB,57,354,75
,6005,Mills,Fearn,,75,51,51,72,80,NP,359,76
,5597,Meyer,Bobbert,,72,65,73,73,68,59,362,77
,6154,Gesing,Hammond,,65,78,72,82,77,41,363,78
,6115,S. Falck,P. Osterman,,38,59,NP,85,65,NP,364,79
,5599,Jenssen,Jenssen,,81,49,63,64,78,NP,365,80
,6056,Hampe,Jenssen,,79,67,NP,78,73,40,367,81
,5380,Stringer,Crossouazd,,73,70,71,67,72,61,371,82
,6271,Barnes,P. Baskerville,,AB,74,75,76,66,60,381,83
,6093,Ronsmans,Ronsmans,,74,61,70,83,79,NP,397,84
,6256,Dobeyn,Rusinelli,,80,73,74,84,AB,62,402,85
,5712,Warren,Grossmith,,82,DQ,76,86,76,59,409,86
,5872,Josef Zuppiger,Franceschina,,77,AB,NP,81,NP,NP,448,87
