,SAIL,Helm,Crew,Club,RACE,RACE,RACE,RACE,RACE,RACE,RACE,RACE,RACE,TOTAL,,City,NET,POS
CAN,8264,Jeff Boyd,Martin ten Hove,Kingston Yacht Club,1,2,2,3,3,1,1,2,1,15,ON,Kingston,12,1
USA,8645,James Englert,Thad Melton,News Hampton,3,1,1,1,4,3,7,1,6,26,VA,Newport,19,2
USA,7200,"Alexander ""Ali"" Meller","Alexander ""Ali"" Meller",Britannia Yacht Club,2,3,6,2,1,8,14,7,2,"44,75",MD,Gaithersberg,"30,75",3
USA,8194,Thomas Kivney,Wolfgang Chamberlain,Hingham Yacht Club,7,12,5,4,5,4,5,6,7,55,MASS,Hingham,43,4
CAN,8442,Michael Hoffman,Ian Eskritt,Britannia Yacht Club,5,11,7,8,7,9,2,4,4,57,ON,Ottawa,46,5
USA,8643,Dave Smith,Barney Harris,West River Sailing Club,8,7,13,7,2,5,3,3,12,60,VA,Arlington,47,6
USA,8629,Dave Smith,Rick Thompson,Pequot Yacht Club,10,14,8,13,11,2,4,5,5,72,CT,Fairfield,58,7
CAN,8060,John Curtis,Adam Schell,Kingston Yacht Club,4,9,12,6,6,6,12,9,9,73,ON,Kingston,61,8
CAN,8192,Brook Hamilton,Wayne Brox,RCYC,9,5,3,14,8,10,11,8,8,76,ON,Chatham,62,9
CAN,7605,Renka Gesing,Adam Gesing,South Port Sailing Club,19,13,9,15,10,12,6,12,3,99,ON,Windsor,80,10
CAN,6910,Ron Hughes,John Bryant,Nepean,14,6,10,12,12,14,8,15,10,101,ON,Ottawa,86,11
CAN,8410,Clarissa Bush,Chris Gillies,Pontaunia Yacht Club,11,17,4,5,15,11,17,11,DNF.,111,QUE,Montreal,91,12
USA,8024,David Chatham,Matt McQueen,St.Francis Yacht Club,13,10,14,11,9,15,9,17,13,111,RI,Narragansett,94,13
USA,8012,Robert Montague,,U.C.Y.C.,12,8,15,16,13,13,10,14,11,112,VA,Alexandria,96,14
USA,8085,Rene de la Rie,Alan Freedman,West River Sailing Club,6,4,DNF.,9,DNF.,DNF.,16,10,15,120,DC,Washington,100,15
CAN,8360,Pierre Saint-Cyr,Norman Saint-Cyr,Pointe Clair Yacht Club,16,18,16,17,14,7,13,16,DNF.,137,QUE,Verdun,117,16
CAN,7150,Ian Torrie,Steve Yates,Poiule D'cheine Yacht Club,15,15,17,10,16,RET,15,18,14,140,NB,Oromocto,120,17
CAN,8233,Alain Molimard,François Bertrand,Club Nautique,18,16,11,DNF.,17,16,18,13,DNF.,149,QUE,Montreal,129,18
CAN,7679,Paul Reid,Kevin Reid,,17,19,18,18,18,DNF.,DNF.,19,DNF.,169,ON,Kingston,149,19
