Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,3,1,1,[3],2,3,1,"10,25","7,25",1
GBR,5157,John Loveday,Lewis Dann,4,2,[10],1,3,1,4,"25,5","15,5",2
GBR,5089,Peter White,John Davies,7,[116],7,4,4,6,5,142,26,3
GBR,4480,Jim Thomson,Chris Labbett,17,3,2,[23],6,17,3,54,31,4
GBR,4283,Phil Milanes,,12,[116],3,2,12,8,11,152,36,5
GBR,5099,Peter Colclough,,11,9,11,[14],3,5,10,52,38,6
GBR,4289,David White,,14,6,12,[22],14,4,6,64,42,7
GBR,4079,Hugh Bourn,,15,5,9,15,7,10,[116],162,46,8
,5032,Ferrant,,19,[116],6,19,17,9,2,169,53,9
,4777,Deschamps,,26,4,5,7,26,[30],21,93,63,10
HKG,4580,Eric Lockeyear,,25,7,8,[120],25,11,14,185,65,11
,5002,Patterson,,18,[45],15,17,1,15,18,"110,75","65,75",12
GBR,4750,Mike Platts,,16,11,16,13,[18],14,12,84,66,13
,5060,McKenzie,,24,19,4,24,[116],7,16,186,70,14
,4792,Evans,,18,18,14,12,13,18,[116],191,75,15
,4739,Derry,,32,12,32,6,9,[116],28,203,87,16
FRA,5150,Bruno Levesque,,35,[43],35,9,21,13,9,130,87,17
,4623,Biscode,,28,10,20,28,20,12,[29],119,90,18
,4721,Carter,,37,14,19,5,37,[116],15,206,90,19
,5984,McIntyre,,27,27,22,[30],15,19,17,130,100,20
,4679,Thompson,,28,25,[31],21,28,16,13,134,103,21
,5046,Fisher,,38,38,[120],20,5,23,25,231,111,22
USA,5190,William Peaver,,32,24,[38],11,22,26,32,153,115,23
FRA,4654,Patrick Nicolas,,32,[120],28,10,27,32,24,241,121,24
GBR,4767,John Locke,,41,8,23,41,19,31,[116],238,122,25
,4810,Hornsey,,38,23,[53],38,29,24,8,175,122,26
GBR,5025,Mike Hattemore,,45,16,17,45,[116],35,20,249,133,27
,4780,Jerkins,,41,29,41,[120],10,20,34,254,134,28
,4962,Vaughan,,39,[116],13,29,33,39,26,256,143,29
,4737,Eggett,,39,20,37,25,39,22,[43],186,144,30
GBR,4760,Wilson,,44,30,27,[116],11,44,37,265,149,31
,4870,Mike Lingwood,,53,15,34,53,[56],26,22,206,150,32
,5056,Bainbridge,,35,26,26,33,32,[116],35,268,152,33
,4040,Michael Enderby,,40,32,24,31,[54],40,38,219,165,34
,4772,Brown,,47,[120],29,36,34,47,19,285,165,35
GBR,5021,Robert Napier,,116,116,[120],8,36,2,7,289,169,36
GBR,5040,Peter Ballam,,44,44,[116],39,24,41,30,294,178,37
GBR,4345,Peter Danby,,60,42,60,[116],16,25,40,299,183,38
,4421,Rix,,51,40,25,51,24,[58],48,246,188,39
,4725,Reid,,65,21,21,26,[116],57,65,306,190,40
,5005,McNair,,46,37,36,46,42,34,[49],244,195,41
GBR,4101,Steve Lambourne,,53,22,[62],43,35,53,47,262,200,42
GBR,5051,Robin Whittle,,60,28,43,[68],60,42,27,268,200,43
,4599,Bucklitsch,,53,35,30,[116],53,37,46,317,201,44
,4872,Gale,,71,17,33,[116],44,46,71,327,211,45
,5203,Thobie,,52,39,48,34,[85],52,39,297,212,46
,4483,Reilly,,66,31,46,37,66,[116],33,329,213,47
,,,,,,,,,,,,,48
,,,,,,,,,,,,,49
,,,,,,,,,,,,,50
,,,,,,,,,,,,,51
,,,,,,,,,,,,,52
,,,,,,,,,,,,,53
,,,,,,,,,,,,,54
,,,,,,,,,,,,,55
,,,,,,,,,,,,,56
,,,,,,,,,,,,,57
,,,,,,,,,,,,,58
,,,,,,,,,,,,,59
,,,,,,,,,,,,,60
,,,,,,,,,,,,,61
,,,,,,,,,,,,,62
,,,,,,,,,,,,,63
,,,,,,,,,,,,,64
,,,,,,,,,,,,,65
,,,,,,,,,,,,,66
,,,,,,,,,,,,,67
,,,,,,,,,,,,,68
,,,,,,,,,,,,,69
,,,,,,,,,,,,,70
,,,,,,,,,,,,,71
,,,,,,,,,,,,,72
,,,,,,,,,,,,,73
,,,,,,,,,,,,,74
,,,,,,,,,,,,,75
,,,,,,,,,,,,,76
,,,,,,,,,,,,,77
,,,,,,,,,,,,,78
,,,,,,,,,,,,,79
,,,,,,,,,,,,,80
,,,,,,,,,,,,,81
,,,,,,,,,,,,,82
,,,,,,,,,,,,,83
,,,,,,,,,,,,,84
,,,,,,,,,,,,,85
,,,,,,,,,,,,,86
,,,,,,,,,,,,,87
,,,,,,,,,,,,,88
,,,,,,,,,,,,,89
,,,,,,,,,,,,,90
,,,,,,,,,,,,,91
,,,,,,,,,,,,,92
,,,,,,,,,,,,,93
,,,,,,,,,,,,,94
,,,,,,,,,,,,,95
,,,,,,,,,,,,,96
,,,,,,,,,,,,,97
,,,,,,,,,,,,,98
,,,,,,,,,,,,,99
,,,,,,,,,,,,,100
,,,,,,,,,,,,,101
,,,,,,,,,,,,,102
,,,,,,,,,,,,,103
,,,,,,,,,,,,,104
,,,,,,,,,,,,,105
,,,,,,,,,,,,,106
,,,,,,,,,,,,,107
,,,,,,,,,,,,,108
,,,,,,,,,,,,,109
,,,,,,,,,,,,,110
,,,,,,,,,,,,,111
,,,,,,,,,,,,,112
,,,,,,,,,,,,,113
,,,,,,,,,,,,,114
,,,,,,,,,,,,,115
