Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,Pts,Pos
GBR,8774,Ian Pinnell,Stephen Hunt,HISC,2,2,1,1,20,6,1
GBR,8773,Simon Payne,Bill Masterman,HISC,1,3,2,6,1,7,2
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley SC,5,1,4,3,3,11,3
GBR,8378,Martin Hodgson,Adrian Miles,Stone SC,4,5,6,2,20,17,4
GBR,8419,Stuart Turnbull,Jason Lunn,Burton,6,6,5,10,2,19,5
GBR,8555,David Smithwhite,Neil Fulcher,HISC,3,4,8,9,20,24,6
GBR,8708,Martin Wedge,Scott Allen,RBYC,8,10,14,11,5,34,7
GBR,8495,David Peacock,Chris Hewlet,Burton,20,20,3,4,8,35,8
GBR,8464,David Hitcock,Ian Nicholson,,11,7,15,13,4,35,9
GBR,8701,Robert Napier,Matthew Bristow,HISC,15,13,7,5,10,35,10
GBR,8752,Chris Dando,Donald Sloan,,7,8,12,15,9,36,11
GBR,8307,Paul Foddy,Peter Smithin,SBSC,9,11,16,12,6,38,12
GBR,8726,Martin Stainsby,Bill Munnery,HISC,13,12,10,8,20,43,13
GBR,8745,Chris Pearson,Frank Rainsborough,QMSC,10,9,13,18,11,43,14
GBR,8552,Russell Short,Andrew Short,HISC/Burton,20,20,11,16,7,54,15
GBR,8685,Richard Sims,Simon Wood,Burton,20,20,9,7,20,56,16
GBR,8568,Brian Newlyn,David Williams,Stokes Bay,12,15,18,17,20,62,17
GBR,8678,Jim Berry,Richard Berry,CVLSC,14,14,17,19,20,64,18
GBR,8694,Andy Williams,Andy Edmonds,PYSC,20,20,20,14,20,74,19
