USA,Sail #,Helm,Crew,,R1,R2,R3,R4,R5,R6,Total,Place
USA,7771,Andy Beeckman,Graham Shelter,,1,2,4,5*,1,3,11,1
USA,771*,Mike Martin,Steve Bordow,,3,3,2,1,2,5,11,2
USA,7201,Dan Thompson,Andy Zinn,,2,7,5,4,7,1,19,3
USA,8680,Bruce Edwards,Dave Shelton,,4,5,1,6,4,7,20,4
CAN,8681,Robin Brown,John Fry,,6,4,7,2,3,6,21,5
USA,7873,Nick Adamson,Allan Norman,,8,6,6,3,5,2,22,6
USA,7875,Jeff Miller,Chris Hanke,,5,1,3,7,6,8,23,7
USA,7156,Doug Hagan,Turk Wilson,,7,8,9,8,9,9,39,8
USA,6983,Eric Willis,Wendy Hegboy,,9,9,8,11,8,4,36,9
USA,6665,Reese Jones,Naim Buseb,,11,11,11,9,10,10,51,10
