#,helm,crew,Club,R1,R2,R3,R4,R5,R6,R7,Σ,Regatta Rank
USA 9072,Mike Holt,Rob Woelfel,,7,1,6,1,4,22,1,20,1
AUS 9074,Nicholas,Payne,,15,4,1,5,1,13,2,26,2
GER 9071,Hunger,Kleiner,,6,12,3,3,2,21,3,29,3
GBR 9088,Andy Smith,Tim Needham,,4,3,8,2,6,6,8,29,4
GER 9135,Stefan Böhm,Roos,,3,5,4,6,10,36,9,37,5
GBR 9094,Pinnell,Shelton,,9,10,2,12,5,2,11,39,6
GER 9112,Bogacki,Dehne,,1,2,5,33,11,27,5,51,7
GER 8875,Jens Findel,Johannes Tellen,,2,27,16,7,21,4,7,57,8
USA 9080,Hamlin,Zinn,,18,6,17,14,7,9,4,57,9
GER 9070,Stefan Köchlin,Andreas Achterberg,,8,8,13,11,14,12,13,65,10
GER 8915,Ramm,Lewin,,41,22,7,4,3,11,20,67,11
GER 9090,Kellner,Schöler,,16,9,11,8,18,20,6,68,12
GER 9127,Pleßmann,Rix,,13,15,10,9,15,15,10,72,13
GER 9131,Schomäker,Jess,,12,11,32,18,9,1,27,78,14
USA 9117,Moore,Buttner,,20,16,25,19,8,7,12,82,15
DEN 9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,21,14,15,22,13,30,22,107,16
GER 8669,Hofmann,Brockerhoff,,14,28,14,26,63,3,23,108,17
GER 9035,Ronald Roos,Kirsten Roos,,11,18,48,27,24,10,25,115,18
DEN 9128,Hoffmann Buhl,Henrik Buhl,,25,7,22,28,23,24,15,116,19
GER 9110,Böger,Schöner,,10,20,34,39,22,18,17,121,20
GER 8992,Lehmann,Oehme,,37,41,20,10,39,5,29,140,21
SWE 8926,Rosén,Wenrup,,47,DNC,18,16,16,38,16,151,22
GER 9011,Daisenberger,Bolduan,,40,25,47,20,20,14,36,155,23
USA 9095,Macy Nelson,Parry Barclay,,33,30,24,36,17,DNC,19,159,24
GER 9057,Bertallot,Reifferscheidt,,17,45,12,31,DNF,48,18,171,25
FRA 9076,Xavier Broise,Des Jamonieres,,42,24,33,23,34,17,40,171,26
SUI 8954,Caroline Jacot,Philippe Jacot,,31,DNF,19,35,12,45,31,173,27
FIN 9069,Hamström,Laurila,,32,38,35,15,29,DNF,26,175,28
FRA 9075,Boite,Grossmann,,24,19,63,34,27,63,14,181,29
GER 9133,Achterberg,Stückl,,53,17,37,53,25,23,28,183,30
AUS 9037,Lott,Franks,,46,29,23,13,43,32,DNC,186,31
DEN 9118,Jan Sauqmann,Jakob Karbo,,DNF,13,26,24,72,19,37,191,32
SUI 8613,Marti,Schürch,,22,34,49,30,35,40,42,203,33
GBR 9124,Horey,Christian Diebitsch,,45,40,DNC,32,31,25,32,205,34
DEN 8440,Mikkel Christiansen,Mads Christiansen,,56,51,40,21,28,37,47,224,35
GBR 9104,Alex Barry,Adam Kenney,,39,37,29,64,37,28,58,228,36
AUS 9134,Michael Quirk,Warlow,,35,23,51,49,41,DNF,30,229,37
GER 9101,Giesler,Böhm,,5,57,44,DNC,33,60,34,233,38
GBR 9126,Hart,Terry,,50,DNC,30,17,54,34,49,234,39
GER 9122,Benedikt Northoff,Kilian Northoff,,26,55,42,80,36,26,53,238,40
GER 9062,Olbrysch,Thies,,DNC,32,57,51,38,16,45,239,41
HKG 9055,Thornburrow,Mead,,29,43,73,60,32,29,54,247,42
RSA 8719,Alex Ham,Warwick Ham,,52,36,56,DNC,53,42,21,260,43
GBR 8963,Hodgson,Miles,,38,64,54,38,30,39,DNF,263,44
USA 9007,Barry,Barrows,,30,21,DNC,DNC,19,8,24,264,45
GER 8975,Holzapfel,Worm,,43,46,53,37,56,62,35,270,46
RSA 8486,Funke,Funke,,55,44,36,47,45,56,43,270,47
GER 8940,Kittsteiner,Stieglitz,,60,49,27,45,49,44,DNF,274,48
GER 8962,Völckner,Schmidt,,36,42,60,43,81,41,52,274,49
